product_name,category,price,stock,daily_sales,lead_time,demand
Keyboard,Electronics,2769,188,24,10,236
Chair,Furniture,7332,167,14,10,140
Bag,Fashion,29293,59,19,14,262
Shampoo,Personal Care,44918,32,1,8,4
Oil,Grocery,28212,114,28,9,249
Shoes,Fashion,31607,194,13,9,112
Laptop,Electronics,36291,6,6,10,58
Laptop,Electronics,47894,100,26,7,186
Shampoo,Personal Care,2683,298,10,15,154
Shampoo,Personal Care,22060,3,13,7,87
Chair,Furniture,19327,287,6,10,57
Notebook,Stationery,35165,105,20,3,65
Soap,Personal Care,36101,109,15,8,119
Shoes,Fashion,48367,109,29,3,90
Monitor,Electronics,28101,269,15,2,31
Table,Furniture,15132,2,23,4,93
Notebook,Stationery,18576,105,16,5,75
Keyboard,Electronics,25588,140,6,14,83
Shoes,Fashion,10786,97,14,15,214
Bottle,Accessories,7415,1,15,9,132
Printer,Electronics,26131,225,28,14,395
Bottle,Accessories,39249,35,1,3,6
Milk,Grocery,25048,93,21,15,312
Soap,Personal Care,48427,11,6,13,74
Notebook,Stationery,11073,282,18,14,252
Printer,Electronics,38544,18,3,3,11
Laptop,Electronics,45460,11,27,1,31
Laptop,Electronics,33394,247,27,3,82
Shampoo,Personal Care,3207,211,18,13,239
Keyboard,Electronics,46141,110,3,10,34
Chair,Furniture,11968,19,29,10,289
Bag,Fashion,30034,216,3,7,17
Shampoo,Personal Care,41202,297,18,15,266
Table,Furniture,2124,251,3,9,23
Table,Furniture,25379,271,12,13,151
Soap,Personal Care,15032,134,12,3,38
Milk,Grocery,43969,104,7,8,61
Shampoo,Personal Care,32084,270,14,5,69
Pen,Stationery,28663,236,22,8,175
Soap,Personal Care,37122,106,27,4,104
Table,Furniture,30030,282,2,13,23
Oil,Grocery,19018,73,26,11,282
Laptop,Electronics,10304,221,18,15,270
Monitor,Electronics,39959,120,19,6,118
Bag,Fashion,3122,157,27,14,379
Monitor,Electronics,34478,174,1,5,5
Bottle,Accessories,42088,190,20,13,262
Bag,Fashion,6144,62,8,14,109
Phone,Electronics,16941,171,6,3,15
Milk,Grocery,37175,54,25,11,279
Pen,Stationery,37862,95,5,13,61
Bottle,Accessories,2352,68,20,15,298
Chair,Furniture,36012,257,22,6,130
Shampoo,Personal Care,29474,263,16,9,148
Laptop,Electronics,1194,96,1,6,4
Chair,Furniture,31974,88,14,8,114
Pen,Stationery,38632,72,21,11,231
Shampoo,Personal Care,35890,229,12,1,8
Oil,Grocery,18686,114,17,10,170
Bottle,Accessories,37173,185,12,12,143
Rice,Grocery,3307,284,17,14,240
Chair,Furniture,9508,97,30,14,423
Notebook,Stationery,20352,268,19,12,226
Soap,Personal Care,42037,134,2,11,20
Headphones,Electronics,31114,114,11,5,54
Keyboard,Electronics,36424,221,1,4,1
Bag,Fashion,25425,126,18,1,19
Bag,Fashion,4671,12,4,8,29
Table,Furniture,38433,217,10,4,41
Rice,Grocery,44577,272,22,5,112
Mouse,Electronics,38803,178,25,6,146
Phone,Electronics,18168,287,20,14,282
Oil,Grocery,1403,38,25,15,373
Table,Furniture,25846,245,13,4,48
Shampoo,Personal Care,4692,220,25,14,352
Monitor,Electronics,40399,245,20,12,238
Keyboard,Electronics,49496,276,12,6,77
Shampoo,Personal Care,2338,290,17,1,17
Shoes,Fashion,11502,57,23,14,325
Pen,Stationery,29462,215,9,5,47
Mouse,Electronics,13641,94,20,2,40
Monitor,Electronics,13282,43,26,2,51
Rice,Grocery,24833,251,7,12,84
Chair,Furniture,35130,298,14,3,45
